ticket_id,title,description,category,affected_service,user_department,impact,urgency,true_type,true_priority,security_flag,suggested_group,resolution_hint
INC0001,User cannot access intranet,User receives PingID prompt but mobile app is logged out,Authentication,Intranet,Finance,Single user,Medium,Incident,P3,False,Identity and Access,Reset PingID enrolment and verify MFA registration
INC0002,Mailbox nearly full,User reports Outlook warning that mailbox storage is almost full,Email,Exchange Online,Legal,Single user,Low,Request,P4,False,Messaging,Review mailbox quota and archive policy
INC0003,Suspicious login prompt,User reports unexpected MFA prompt from unknown location,Security,Microsoft 365,Sales,Single user,High,Incident,P2,True,Security Operations,Review sign-in logs and revoke sessions if needed
INC0004,New starter access request,Manager requests Microsoft 365 account and group access for new joiner,Access,Microsoft 365,HR,Single user,Medium,Request,P3,False,Identity and Access,Create account and assign standard onboarding groups
INC0005,Laptop missing from Intune,Device no longer appears in Intune inventory,Endpoint,Intune,Operations,Single device,Medium,Incident,P3,False,Endpoint Support,Check device enrolment and sync status
INC0006,Outlook not syncing,User reports Outlook desktop client has stopped receiving new mail,Email,Exchange Online,Marketing,Single user,Medium,Incident,P3,False,Messaging,Check Outlook profile cache and Exchange connectivity
INC0007,SharePoint access request,User needs access to departmental SharePoint site,Access,SharePoint,Finance,Single user,Low,Request,P4,False,Identity and Access,Validate approval and add user to correct SharePoint group
INC0008,Possible phishing email,User reports suspicious email asking for password reset,Security,Email,Sales,Multiple users,High,Incident,P2,True,Security Operations,Review message headers quarantine email and check affected users
INC0009,Teams meeting room audio issue,Conference room microphone not working during Teams calls,Collaboration,Microsoft Teams,Operations,Multiple users,Medium,Incident,P3,False,Collaboration Support,Check room device audio settings and Teams Rooms health
INC0010,Password reset request,User forgot password and cannot access Microsoft 365,Authentication,Microsoft 365,Legal,Single user,Low,Request,P4,False,Identity and Access,Verify identity and complete password reset
INC0011,VPN connection failing,Remote user cannot connect to VPN from home network,Network,VPN,Finance,Single user,Medium,Incident,P3,False,Network Support,Check VPN client logs user group membership and MFA status
INC0012,Autopilot build failed,New laptop failed during Windows Autopilot enrolment,Endpoint,Windows Autopilot,IT,Single device,Medium,Incident,P3,False,Endpoint Support,Review Autopilot profile assignment and device hash
INC0013,Unexpected admin consent prompt,User reports app requesting admin consent to access mailbox data,Security,Entra ID,HR,Single user,High,Incident,P2,True,Security Operations,Review enterprise app permissions and block if suspicious
INC0014,Distribution list update,Manager requests new users added to department distribution list,Access,Exchange Online,Marketing,Multiple users,Low,Request,P4,False,Messaging,Validate approval and update distribution group membership
INC0015,Printer queue stuck,Office printer has multiple stuck jobs and users cannot print,Endpoint,Print Services,Operations,Multiple users,Medium,Incident,P3,False,Endpoint Support,Clear print queue restart spooler and test print
INC0016,Account locked repeatedly,User account locks every morning after password change,Authentication,Entra ID,Finance,Single user,Medium,Incident,P3,False,Identity and Access,Check cached credentials mapped drives and mobile mail profile
INC0017,Malware alert on endpoint,Defender reports malware detection on user laptop,Security,Endpoint Security,Sales,Single device,High,Incident,P1,True,Security Operations,Isolate device review Defender alert and begin incident response
INC0018,Request for Teams channel,Project lead requests private Teams channel for new initiative,Collaboration,Microsoft Teams,Product,Multiple users,Low,Request,P4,False,Collaboration Support,Create channel after approval and configure membership
INC0019,Database report export failing,Operations report fails when exporting data to CSV,Application,Reporting Portal,Operations,Multiple users,Medium,Incident,P3,False,Application Support,Check application logs export job and database query timeout
INC0020,API integration returning 500,Internal integration returns HTTP 500 during scheduled sync,Application,Internal API,IT,Multiple users,High,Incident,P2,False,Application Support,Check API logs recent deployments and failing payloads
INC0021,User reports slow laptop,Laptop takes over 15 minutes to boot and open applications,Endpoint,Windows Device,Legal,Single device,Low,Incident,P4,False,Endpoint Support,Check disk health startup apps and endpoint performance metrics
INC0022,Finance app access issue,User can log in but receives permission error in finance system,Application,Finance App,Finance,Single user,Medium,Incident,P3,False,Application Support,Check application role assignment and recent access changes
INC0023,Unknown inbox rule found,User notices suspicious forwarding rule in mailbox,Security,Exchange Online,Executive,Single user,High,Incident,P1,True,Security Operations,Remove rule revoke sessions reset password and inspect sign-in logs
INC0024,Request shared mailbox,Team requests shared mailbox for new project,Email,Exchange Online,Product,Multiple users,Low,Request,P4,False,Messaging,Create shared mailbox assign permissions and document owner
INC0025,Wi-Fi dropping in meeting room,Users report unreliable Wi-Fi in one meeting room,Network,Wi-Fi,Operations,Multiple users,Medium,Incident,P3,False,Network Support,Check access point health channel interference and DHCP logs
