ticket_id,title,description,category,affected_service,user_department,impact,urgency,true_type,true_priority,security_flag,suggested_group,resolution_hint,predicted_type,predicted_priority,predicted_group,predicted_security_flag,confidence,evidence
INC0001,User cannot access intranet,User receives PingID prompt but mobile app is logged out,Authentication,Intranet,Finance,Single user,Medium,Incident,P3,False,Identity and Access,Reset PingID enrolment and verify MFA registration,Incident,P3,Identity and Access,False,0.78,Authentication or access-management keyword detected.
INC0002,Mailbox nearly full,User reports Outlook warning that mailbox storage is almost full,Email,Exchange Online,Legal,Single user,Low,Request,P4,False,Messaging,Review mailbox quota and archive policy,Incident,P3,Messaging,False,0.78,Email or Exchange Online keyword detected.
INC0003,Suspicious login prompt,User reports unexpected MFA prompt from unknown location,Security,Microsoft 365,Sales,Single user,High,Incident,P2,True,Security Operations,Review sign-in logs and revoke sessions if needed,Incident,P2,Security Operations,True,0.9,Security-related keyword detected.
INC0004,New starter access request,Manager requests Microsoft 365 account and group access for new joiner,Access,Microsoft 365,HR,Single user,Medium,Request,P3,False,Identity and Access,Create account and assign standard onboarding groups,Request,P4,Identity and Access,False,0.86,Authentication or access-management keyword detected.
INC0005,Laptop missing from Intune,Device no longer appears in Intune inventory,Endpoint,Intune,Operations,Single device,Medium,Incident,P3,False,Endpoint Support,Check device enrolment and sync status,Incident,P3,Endpoint Support,False,0.76,Endpoint or device-management keyword detected.
INC0006,Outlook not syncing,User reports Outlook desktop client has stopped receiving new mail,Email,Exchange Online,Marketing,Single user,Medium,Incident,P3,False,Messaging,Check Outlook profile cache and Exchange connectivity,Incident,P3,Messaging,False,0.78,Email or Exchange Online keyword detected.
INC0007,SharePoint access request,User needs access to departmental SharePoint site,Access,SharePoint,Finance,Single user,Low,Request,P4,False,Identity and Access,Validate approval and add user to correct SharePoint group,Request,P4,Identity and Access,False,0.86,Authentication or access-management keyword detected.
INC0008,Possible phishing email,User reports suspicious email asking for password reset,Security,Email,Sales,Multiple users,High,Incident,P2,True,Security Operations,Review message headers quarantine email and check affected users,Incident,P2,Security Operations,True,0.9,Security-related keyword detected.
INC0009,Teams meeting room audio issue,Conference room microphone not working during Teams calls,Collaboration,Microsoft Teams,Operations,Multiple users,Medium,Incident,P3,False,Collaboration Support,Check room device audio settings and Teams Rooms health,Incident,P3,Collaboration Support,False,0.72,Collaboration platform keyword detected.
INC0010,Password reset request,User forgot password and cannot access Microsoft 365,Authentication,Microsoft 365,Legal,Single user,Low,Request,P4,False,Identity and Access,Verify identity and complete password reset,Request,P4,Identity and Access,False,0.86,Authentication or access-management keyword detected.
